receiver,posWeight,negWeight,relPrereq,eventsInMemory,globalAndMapEvents,relatedTopics,trait,responseTone,portrait,locations,speakerId,dialogue,effect_addEventToGlobal,effect_addEventToMap,effect_addToNPCMemory,effect_addToPlayerMemory,effect_relationshipEffect,effect_makeMostRelevantTopic,effect_closeTopic,effect_exit
no_receiver,1,1,neut,,GameIsActive,StartConversation,,neut,,,main_cassandra,Yes?,,,,,,,,
no_receiver,1,1,good,,GameIsActive,StartConversation,,neut,,,main_cassandra,Hello. Need help with anything?,,,,,,,,
no_receiver,1,1,bad,,GameIsActive,StartConversation,,neut,,,main_cassandra,I'm quite busy. If you need anything{comma} please make it quick.,,,,,,,,
no_receiver,1,1,,ArtifactNotFound,,MissingArtifact,,neut,,,main_cassandra,Are you serious? It was just there last night!,,,,,,,,
no_receiver,1,1,,PlayerAskedDirectorWhereabouts,GameIsActive,LookingForDirector,,neut,,,main_cassandra,I haven't seen him since last night. Why?,,,DirectorWhereabouts:main_cassandra,,,,,
no_receiver,1,1,,ArtifactNotFound/PlayerAskedDirectorWhereabouts,GameIsActive,LookingForDirector,,neut,,,main_cassandra,I haven't seen him. We have to report this to the director though. The exhibit is next week.,,,,,,,,
no_receiver,1,2,neut,ArtifactNotFound/PlayerExpressedSuspicions,,MissingArtifact/EndConversation,,neut,angry,,main_cassandra,Are you accusing me of something? I've done nothing wrong. Please{comma} leave.,,,,,,,,TRUE
no_receiver,1,2,good,ArtifactNotFound/PlayerExpressedSuspicions,,MissingArtifact/EndConversation,,neut,sad,,main_cassandra,You know I won't do this... are you implying something?{next}Just go.,,,,,,,,TRUE
no_receiver,1,2,bad,ArtifactNotFound/PlayerExpressedSuspicions,,MissingArtifact/EndConversation,,neut,angry,,main_cassandra,I'd prefer that you not throw around baseless accusations.{next}Do your job now{comma} I'm busy.,,,,,,,,TRUE
no_receiver,1,1,,PlayerCanUseJonathansPhone,,LookingForDirector,,,happy,,main_cassandra,That's good. Please call him ASAP. We already don't have the plinth's statue. If we lose the plinth...,,,,,,,,
no_receiver,1,2,,PlayerUsedJonathansPhone/DirectorVoicemail/PlayerAskedDirectorWhereabouts,,LookingForDirector,,,sad,,main_cassandra,That's bad news... You should ask the assistant{comma} maybe she knows where he is.,,,,,,,,
no_receiver,1,1,,PlayerUsedJonathansPhone/DirectorVoicemail,,LookingForDirector,,,sad,,main_cassandra,That's bad news... You should ask the assistant{comma} maybe she knows where he is.,,,,,,,,
no_receiver,1,2,,DirectorMissing/PlayerDemeanor:Nervous,,DirectorMissing/StartConversation,,,,,main_cassandra,C-calm down. First thing's first{comma} maybe you can go investigate the director's office for clues?,,,NextSteps:Cass:GoToOffice,NextSteps:Cass:GoToOffice,,,,TRUE
no_receiver,1,2,good,DirectorMissing/PlayerDemeanor:Nervous,,DirectorMissing/StartConversation,,,,,main_cassandra,Hey{comma} calm down. We'll be able to deal with this. I think we should investigate the director's office.,,,NextSteps:Cass:GoToOffice,NextSteps:Cass:GoToOffice,,,,
no_receiver,1,1,,DirectorMissing,,DirectorMissing,,,sad,,main_cassandra,I suppose so. What do you plan on doing?,,,,,,,,
no_receiver,1,1,good,DirectorMissing,,DirectorMissing,,,,,main_cassandra,I suppose so. I suggest you go investigate the director's office. Maybe it has clues for where the director is.,,,NextSteps:Cass:GoToOffice,NextSteps:Cass:GoToOffice,,,,
no_receiver,1,1,,,PlayerEnterDirectorsOffice,DirectorsOffice,,,,,main_cassandra,Did you find anything?,,,,,,,,
no_receiver,1,1,good,NextSteps:Cass:GoToOffice,PlayerEnterDirectorsOffice,DirectorsOffice,,,,,main_cassandra,Great! What did you find?,,,,,,,,
no_receiver,1,1,,KeyInDirectorsOffice,PlayerEnterDirectorsOffice,DirectorsOffice,,,sad,,main_cassandra,I'm not sure. You'll have to show me the key.,,,,,,,,
no_receiver,1,1,,ShowItem:cass_storage_key,PlayerEnterDirectorsOffice,DirectorsOffice,,,,,main_cassandra,Wait a minute... that's mine! I've been looking for that key since yesterday. How did it get there?,,,,,,,,
no_receiver,1,1,good,ShowItem:card_from_beth/PlayerSnoopedThroughSafe,PlayerEnterDirectorsOffice,DirectorsOffice/CardFromBeth,,,,,main_cassandra,You stole from the director's safe?! Be glad we're friends or you would have been reported...{next}Anyway... the card says it's from a woman named Beth. I don't really know who that is...,,,,,,,,
no_receiver,1,1,,ShowItem:card_from_beth/PlayerSnoopedThroughSafe,PlayerEnterDirectorsOffice,DirectorsOffice/CardFromBeth,,,,,main_cassandra,If this weren't an emergency{comma} i would be panicking and reporting you. But since it is...{next}The card says it's from a woman named Beth. It's not someone I recognize.,,,,,,,,
no_receiver,1,1,,PlayerSawCardOfWoman/PlayerSnoopedThroughSafe,PlayerEnterDirectorsOffice,DirectorsOffice,,,,,main_cassandra,I don't know her. The director never mentioned a woman by that name{comma} and I don't think thats the name of his wife...?,,,,,,,,
no_receiver,1,2,good,PlayerSawCardOfWoman/PlayerSnoopedThroughSafe,PlayerEnterDirectorsOffice,DirectorsOffice,,,sad,,main_cassandra,I never knew you were a gossip. I don't want to see.{next} I don't know who Beth is{comma} either.,,,,,-1,,,
no_receiver,1,1,,PlayerSawCardOfWoman/PlayerSnoopedThroughSafe,PlayerEnterDirectorsOffice,DirectorsOffice,,,angry,,main_cassandra,Aren't you ever-the-gossip... I don't know who Beth is{comma} if that's what you want to ask.,,,,,-1,,,
no_receiver,1,1,,RichWomanAndDirector,PlayerEnterDirectorsOffice,CardFromBeth/DirectorsFrequentVisitor,,,,,main_cassandra,According to the staff{comma} that woman always brings gifts with her. You'd be better off asking the custodians{comma} if you need specific information. They seem to like her a lot.,,,,,,,,
no_receiver,1,1,good,PlayerIsInvestigating,Confrontation,CassandrasOutburst,,,,,main_cassandra,... yes. How kind of the director.,,,,,,,,
no_receiver,1,1,,PlayerIsInvestigating,Confrontation,CassandrasOutburst,,,,,main_cassandra,Of course. I'll answer any questions you have.,,,,,,,,
no_receiver,1,2,good,PlayerIsInvestigating,Confrontation,CassandrasOutburst,,,angry,,main_cassandra,You should be on my side. The director... all he cares about is profit.,,,,,,,,
no_receiver,1,2,,PlayerIsInvestigating,Confrontation,CassandrasOutburst,,,angry,,main_cassandra,How gracious of him to ask you to do what you were already doing.,,,,,,,,
no_receiver,1,1,,,PlayerStoleCustodiansKey/PlayerEnterDirectorsOffice,DirectorsOffice,,,,,main_cassandra,You... *stole* the custodians' keys to the director's office?,,,,,,,,
no_receiver,1,1,good,,PlayerEnterDirectorsOffice,DirectorsOffice,,,,,main_cassandra,Please do share.,,,,,,,,
no_receiver,1,1,,,PlayerEnterDirectorsOffice,DirectorsOffice,,,,,main_cassandra,Yes. What did you find?,,,,,,,,
no_receiver,1,1,,Inquiry:CassandrasOutburst,Confrontation,CassandrasOutburst/Investigation:Cassandra,,,angry,,main_cassandra,I know he was the one to take the plinth. I'm just... getting him to admit it. He thinks that the plinth is unimportant{comma} so I thought that maybe he'd done somthing to it.,,,ReasonForOutburst:CassandraSuspicions/DirectorsOpinion:PlinthIsUnimportant,ReasonForOutburst:CassandraSuspicions/DirectorsOpinion:PlinthIsUnimportant,,,,
no_receiver,1,1,,CassandraThreatenedToQuit,,Investigation:Cassandra,,,,,main_cassandra,...Yes. I just don't think he cares about the museum as much as everyone thinks.,,,,,,,,TRUE
no_receiver,1,2,,ReasonForOutburst:CassandraSuspicions/PlayerDisbelief:DirectorSellThePlinth:Reasons,,CassandrasOutburst,,,angry,,main_cassandra,Are you kidding?! All he cares about is for the museum to be profitable. He thinks that{comma} because the plinth is missing its statue{comma} it has no value and is unimportant.,,,DirectorsOpinion:PlinthIsUnimportant,,,,,
no_receiver,1,1,,ReasonForOutburst:CassandraSuspicions/DirectorSellThePlinth:Reasons,,CassandrasOutburst,,,sad,,main_cassandra,The director thinks that the plinth is useless{comma} historically. That there's nothing that the plinth could tell.,,,DirectorsOpinion:PlinthIsUnimportant,,,,,
