receiver,posWeight,negWeight,relPrereq,eventsInMemory,globalAndMapEvents,relatedTopics,trait,responseTone,locations,portrait,speakerId,dialogue,effect_addEventToGlobal,effect_addEventToMap,effect_addToNPCMemory,effect_addToPlayerMemory,effect_relationshipEffect,effect_makeMostRelevantTopic,effect_closeTopic,effect_exit,effect_item
no_receiver,,,,,,StartConversation,shy/quiet,,,,assistant,Hello...,,,,,,,,,
no_receiver,,,,,,StartConversation,loner,,,,assistant,Is there something you need?,,,,,,,,,
no_receiver,,,,,,StartConversation,friendly,,,,assistant,Do you need anything{comma} Ma'am?,,,,,,,,,
no_receiver,,,,ArtifactNotFound,,MissingArtifact,,,,,assistant,No. Is there a problem?,,,,,,,,,
no_receiver,,,,ArtifactNotFound,,MissingArtifact,friendly,,,,assistant,No. Do you need help with something?,,,,,,,,,
no_receiver,,,,PlayerAskedDirectorWhereabouts,,LookingForDirector,,,,,assistant,I haven't seen the director anywhere{comma} no.,,,DirectorWhereabouts:Assistant,DirectorWhereabouts:Assistant,,,,,
no_receiver,,2,,PlayerExpressedSuspicions,,MissingArtifact,,,,,assistant,Do... do you think I'm suspicious? I haven't done anything!,,,,,-2,,,,
no_receiver,2,,,ArtifactNotFound,,MissingArtifact/EndConversation,friendly/loner,,,,assistant,Of course. I'll let you know.,,,,,,,,TRUE,
no_receiver,2,,,ArtifactNotFound,,MissingArtifact/EndConversation,shy/quiet,,,,assistant,Yes... Good luck ma'am.,,,,,,,,TRUE,
no_receiver,,,,DirectorVoicemail/DirectorWhereabouts:Assistant,,LookingForDirector/StartConversation,friendly,,,,assistant,Well{comma} that's odd. I have tried contacting him too{comma} and he isn't answering me{comma} either. And he hasn't called since yesterday.,,,DirectorMissing,DirectorMissing,,,,,
no_receiver,,,,DirectorVoicemail/DirectorWhereabouts:Assistant,,LookingForDirector/StartConversation,shy/quiet/loner,,,,assistant,So he didn't answer? I see... He hasn't contacted me at all either. Usually he approaches me with some things I have to do... Yesterday was the last time we talked.,,,DirectorMissing,DirectorMissing,,,,,
no_receiver,,,,DirectorVoicemail/PlayerAskedDirectorWhereabouts,,LookingForDirector/StartConversation,friendly,,,,assistant,I don't know where he is{comma} unfortunately. If he's not answering his phone{comma} then that's definitely strange{comma} because he didn't answer any of my calls today either.,,,DirectorMissing/DirectorWhereabouts:Assistant,DirectorMissing/DirectorWhereabouts:Assistant,,,,,
no_receiver,,,,DirectorVoicemail/PlayerAskedDirectorWhereabouts,,LookingForDirector/StartConversation,shy,,,,assistant,I'm not sure where he is. He doesn't answer my calls either. He last approached me yesterday.,,,DirectorMissing/DirectorWhereabouts:Assistant,DirectorMissing/DirectorWhereabouts:Assistant,,,,TRUE,
no_receiver,,,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,friendly/loner,,,,assistant,I know. I'm a bit worried about him{comma} in fact...,,,,,,,,,
no_receiver,,1,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,shy/quiet,,,,assistant,Yes. It's a bit worrying... but I don't know what to do.,,,,,,,,,
no_receiver,2,,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,friendly,,,,assistant,I've been worried about the museum ever since you told me about the plinth going missing... I'm not sure what to do with the director gone!,,,,,2,,,,
no_receiver,2,,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,loner,,,,assistant,A little... but Ma'am Cassandra must be struggling{comma} as she's the one who wanted to put this whole exhibit together...,,,CassandraStartedExhibit,CassandraStartedExhibit,1,,,,
no_receiver,2,,good,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,shy,,,,assistant,O-only a little. I'm more worried about what the director will say when he comes back...,,,Assistant:AfraidOfDirector,Assistant:AfraidOfDirector,1,,,,
no_receiver,2,,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,shy/quiet,,,,assistant,Just a little bit... don't worry about me...,,,,,2,,,,
no_receiver,,2,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,friendly/quiet,,,,assistant,I was! I do reach out but he isn't answering.,,,,,-1,,,,
no_receiver,,2,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,loner,,,,assistant,Are you serious? I did reach out to him{comma} but he doesn't answer my calls.,,,,,-1,,,,
no_receiver,,2,,DirectorMissing/DirectorVoicemail/DirectorWhereabouts:Assistant,,DirectorMissing,shy,,,,assistant,Y-you're right. I'm sorry....,,,,,-1,,,,
no_receiver,,,,DirectorMissing/NextSteps:assistant,,DirectorMissing,,,,,assistant,I'm not sure there's much I can offer in the way of help... maybe we can ask the other staff if they have talked to the director recently?,,,,,,,,,
no_receiver,2,,good,DirectorMissing/NextSteps:assistant,,DirectorMissing,,,,,assistant,I'm not sure if this will be much help... but maybe I can help you get into the director's office. I gave the custodian a copy of the keys in case of emergencies.,,,Assistant:GaveKeysToCustodian,Assistant:GaveKeysToCustodian,,,,,
no_receiver,,2,good,DirectorMissing/NextSteps:assistant/PlayerDemeanor:Nervous,,DirectorMissing,,,,,assistant,P-please calm down... I have a copy if the key but I gave it to one of the custodians downstairs.,,,Assistant:GaveKeysToCustodian,Assistant:GaveKeysToCustodian,,,,,
no_receiver,,,good,DirectorMissing/NextSteps:assistant/Assistant:GaveKeysToCustodian/Inquiry:AssistantsExtraKey,,DirectorMissing,friendly/loner,,,,assistant,I'm pretty sure it's in one of the lockers downstairs. The passcode is his daughter's birthday... I think I asked and it's around the first week of October? That's all I know.,,,CustodiansPassword,CustodiansPassword,,,,,
no_receiver,,,good,DirectorMissing/NextSteps:assistant/Assistant:GaveKeysToCustodian/Inquiry:AssistantsExtraKey,,DirectorMissing,shy/quiet,,,,assistant,I think I remember him approaching me and telling me about the locker downstairs... The passcode is his daughter's birthday{comma} somewhere in the first week of October.,,,CustodiansPassword,CustodiansPassword,,,,,
no_receiver,,2,bad,DirectorMissing/PlayerPressuredTheAssistant,,DirectorMissing,shy/quiet,,,,assistant,Please don't! I don't know what to do!,,,,,,,,,
no_receiver,,2,bad,DirectorMissing/PlayerPressuredTheAssistant,,DirectorMissing,friendly/loner,,,,assistant,You won't at least help me?,,,,,,,,,
