receiver,posWeight,negWeight,relPrereq,eventsInMemory,globalAndMapEvents,relatedTopics,trait,responseTone,portrait,locations,speakerId,dialogue,effect_addEventToGlobal,effect_addEventToMap,effect_addToNPCMemory,effect_addToPlayerMemory,effect_relationshipEffect,effect_makeMostRelevantTopic,effect_closeTopic,effect_exit,effect_item
no_receiver,,,,,,StartConversation,friendly,,,Floor2,custodian,Hey{comma} it's one of my favorite curators! Don't tell miss Cassandra{comma} hoho!,,,,ArtifactNotFound,,,,,
no_receiver,,,,,,StartConversation,friendly,,,Floor1,custodian,Lovely morning{comma} isn't it?,,,,,,,,,
no_receiver,,,,,,StartConversation,gruff,,,,custodian,What?,,,,,,,,,
no_receiver,,,,,,StartConversation,polite,,,,custodian,Good morning.,,,,,,,,,
no_receiver,,,,,,StartConversation,eloquent,,,Floor2,custodian,Good morning{comma} Ma'am. I fixed up your cubicle while you were out on vacation.,,,,,,,,,
no_receiver,,,,,,StartConversation,eloquent,,,Floor1,custodian,Hello Ma'am. Isn't it quite a lovely day?,,,,,,,,,
no_receiver,,,,,,StartConversation,frazzled,,,,custodian,I need a coffee.,,,,,,,,,
no_receiver,,,,,,StartConversation,impatient,,,,custodian,Is there something you need? I ain't got all day.,,,,,,,,,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorMissing,friendly,,,,custodian,Oh... How can I help?,,,,,,,,,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorMissing,gruff,,,,custodian,What'dya need?,,,,,,,,,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorsOffice,gruff,,,,custodian,Ah... um... I can't help you with that. Director Virgil will get mad at me... haha.,,,DeclinedToHelp,DeclinedToHelp:custodian,,,,,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorsOffice,eloquent,,,,custodian,I can't help you with that{comma} I'm afraid. I'll need the director's permission first.,,,DeclinedToHelp,DeclinedToHelp:custodian,,,,,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorsOffice,friendly,,,,custodian,No can do{comma} ma'am. That's going to get me in trouble.,,,DeclinedToHelp,DeclinedToHelp:custodian,,,,,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorsOffice,impatient,,,,custodian,Hmph. Can't help you with that.,,,DeclinedToHelp,DeclinedToHelp:custodian,,,,,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorsOffice,loner,,,,custodian,Can't help you. Now scram{comma} I'm busy.,,,DeclinedToHelp,DeclinedToHelp:custodian,,,,TRUE,
no_receiver,,,,PlayerAskedForHelp/ArtifactNotFound/DirectorMissing,,DirectorsOffice,polite,,,,custodian,Sorry{comma} can't really help with that.,,,DeclinedToHelp,DeclinedToHelp:custodian,,,,,
