receiver,posWeight,negWeight,relPrereq,eventsInMemory,globalAndMapEvents,relatedTopics,trait,responseTone,portrait,locations,speakerId,dialogue,effect_addEventToGlobal,effect_addEventToMap,effect_addToNPCMemory,effect_addToPlayerMemory,effect_relationshipEffect,effect_makeMostRelevantTopic,effect_closeTopic,effect_exit
no_receiver,,,,,,StartConversation,,neut,neutral,,main_jonathan,G'morning{comma} Ma'am.,,,,,,,,
no_receiver,1,1,,ArtifactNotFound,,MissingArtifact,,neut,sad,,main_jonathan,What? How could that happen?,,,,,,,,
no_receiver,1,1,,ArtifactNotFound/PlayerAskedDirectorWhereabouts,,LookingForDirector,,neut,neutral,,main_jonathan,I have no idea where he is{comma} sorry. You could ask one of the custodians or the assistant.,,,DirectorWhereabouts:Jonathan,DirectorWhereabouts:Jonathan ,,,,
no_receiver,,,,ArtifactNotFound,,CameraInTheStorageRoom,,neut,neutral,,main_jonathan,I think I saw a strange woman in the storage room last night. My memory was hazy so I assumed it was just one of the staff.,,,WomanInStorage ,WomanInStorage,,,,
no_receiver,1,2,,ArtifactNotFound/PlayerExpressedSuspicions,,MissingArtifact/EndConversation,,neut,angry,,main_jonathan,Uhm... no. I haven't done anything. Are you implying something?,,,ExpressedSuspicions:main_jonathan,,-3,,,
no_receiver,1,2,,ArtifactNotFound/PlayerExpressedSuspicions,,MissingArtifact/EndConversation,,neg,angry,,main_jonathan,What are you trying to say? If there's something you're implying you need evidence for it. Please leave me alone.,,,ExpressedSuspicions:main_jonathan,,-5,,,TRUE
no_receiver,1,1,,ArtifactNotFound/ExpressedSuspicions:main_cassandra,,MissingArtifact,,neut,neutral,,main_jonathan,I don't think Cass is capable of that... She loves her career. I doubt she will jeopardize it.,,,DefendedCassandra:{speaker_archetype},DefendedCassandra:{speaker_archetype},,,,
no_receiver,,,,ShowItem:card_from_beth/WomanInStorage,,CardFromBeth,,,sad,,main_jonathan,I'm not sure who that woman is. Maybe she could be the woman I saw in the cameras.,,,,,,,,
no_receiver,,,,ShowItem:card_from_beth,,CardFromBeth,,,happy,,main_jonathan,Hmmm... the name doesn't ring any bells. But! I did forget to tell you{comma} I think I saw a woman in the storage room cameras. Could that be 'Beth'?,,,WomanInStorage ,WomanInStorage,,,,
no_receiver,,,,WomanInCamera,,CameraInTheStorageRoom,,,neutral,,main_jonathan,Yes{comma} I was watching the cameras throughout the night. I've been a bit sleep-deprived... but I know what I saw.,,,JonathanWatchingCameras,JonathanWatchingCameras,,,,
no_receiver,,2,,WomanInCamera,,CameraInTheStorageRoom,,,sad,,main_jonathan,I'm sorry. I was watching the cameras throughout the night{comma} and I've been a bit sleep-deprived... so I may have forgotten.,,,JonathanWatchingCameras,JonathanWatchingCameras,-5,,,
no_receiver,,,,ArtifactNotFound/PlayerAskedDirectorWhereabouts/DirectiorWhereabouts:Jonathan,,LookingForDirector,,,happy,,main_jonathan,If you need to{comma} you can call him through my phone.,,,PlayerCanUseJonathansPhone,PlayerCanUseJonathansPhone,,,,
no_receiver,,,,PlayerCanUseJonathansPhone,,LookingForDirector/StartConversation,,,neutral,,main_jonathan,Hey{comma} have you called the director already?,,,,,,,,
no_receiver,,2,,DirectorVoicemail,PlayerUsedJonathansPhone,LookingForDirector,,neg,sad,,main_jonathan,H-hey{comma} don't be too harsh on him{comma} he's probably busy.,,,,,-1,,,
no_receiver,,,,DirectorVoicemail,PlayerUsedJonathansPhone,LookingForDirector,,neut,neutral,,main_jonathan,What{comma} really? Hmm... I wonder what he's up to.,,,,,,,,
no_receiver,,,,PlayerCanUseJonathansPhone,PlayerUsedJonathansPhone,LookingForDirector,,,angry,,main_jonathan,But I just saw you call someone. Please don't use the phone for unimportant matters.,,,,,-2,,,
no_receiver,,,,PlayerCanUseJonathansPhone,,LookingForDirector,,,neutral,,main_jonathan,Okay. Let me know if there's anything new.,,,,,,,,
no_receiver,,,,DirectorMissing,,DirectorMissing,,,neutral,,main_jonathan,...Huh. Usually{comma} he lets his assistants know where he goes--n-not that I look for him often.,,,,,,,,
no_receiver,,,,DirectorMissing,,DirectorMissing/DirectorsOffice,,,sad,,main_jonathan,I'm not sure I can help... I guess Virgil--I mean{comma} the director--leaves a spare key for his office here.,,,DirectorFirstName:Jonathan/JonathanHasKeysToOffice,DirectorFirstName:Jonathan/JonathanHasKeysToOffice,,,,
no_receiver,,,bad,JonathanHasKeysToOffice/PlayerAskedForKeys,,DirectorMissing/DirectorsOffice,,neg,sad,,main_jonathan,Oh. I can't. The director is a pretty private person. He wouldn't want me to give away the key randomly.,,,,,,EndConversation/DirectorsOffice,,
no_receiver,,,good,JonathanHasKeysToOffice/PlayerAskedForKeys,,DirectorMissing/DirectorsOffice,,pos,happy,,main_jonathan,Ah{comma} sure. I'll help you out. Just as long as you won't tell him I gave you the keys.,,,HelpedPlayerEnter:main_jonathan,HelpedPlayerEnter:main_jonathan,,EndConversation/DirectorsOffice,,
no_receiver,,,neut,JonathanHasKeysToOffice/PlayerAskedForKeys,,DirectorMissing/DirectorsOffice,,neut,sad,,main_jonathan,Oh... I... I can't. Sorry. The director trusted me with the key{comma} and he's a very private person...,,,,,,EndConversation/DirectorsOffice,,
no_receiver,,2,,JonathanHasKeysToOffice,,DirectorsOffice/EndConversation,,,angry,,main_jonathan,Just doing my job. You can't blame me for that.,,,,,,,,TRUE
no_receiver,1,,,JonathanHasKeysToOffice,,DirectorsOffice/EndConversation,,,neutral,,main_jonathan,I'm really sorry. I hope someone else helps though.,,,,,,,,TRUE
no_receiver,,,,WomanInStorage/WomanInStorage:Beth,,CardFromBeth,,,sad,,main_jonathan,It's just a shot in the dark basically. But... I know 'Beth' isn't the director's wife.,,,NotDirectorsWife,NotDirectorsWife,,,,
no_receiver,,,,NotDirectorsWife,,CardFromBeth,,,sad,,main_jonathan,Yes. And... well{comma} it just seems to me that the director may attract people like this. Like... the Founder.,,,DirectorAttractsBadPeople,DirectorAttractsBadPeople,,TheFounder,,
no_receiver,,,,DirectorAttractsBadPeople,,CardFromBeth,,,neutral,,main_jonathan,I've read that a lot of nautical artifacts have a lot of value. They're considered collector's items and deep sea treasures. The director... attracts people that want these artifacts for themselves.,,,,,,,,
no_receiver,,,,PlayerAskedAboutTheFounder,,TheFounder,,,neutral,,main_jonathan,Yes{comma} the founder. She funded and helped build the museum. Rumors say she uses the museum as a way to collect some nautical artifacts. If she wants to collect it{comma} she buys it from us.,,,,LearnAboutTheFounder,,,,
no_receiver,,,,JonathansThoughtsOnFounder,,TheFounder,,,sad,,main_jonathan,I don't often think about her. But listen{comma} I hear the director often does whatever the founder wants.,,,,,,,,
no_receiver,,,,FounderInfo:JonathansSources,,TheFounder,,,neutral,,main_jonathan,I... just hear about it. From other people. I'm sure if you gossip enough with everyone here{comma} they have something to say about her.,,,,,,,,
no_receiver,,,,FounderIdentity:Beth,,TheFounder,,,neutral,,main_jonathan,Well... Maybe. I've never seen the founder before. It makes a lot of sense for the founder to be the one in the cameras too. And if she's also Beth{comma} then she's our most likely culprit.,,,,FounderIdentity:Beth,,,,
no_receiver,,,good,JonathanHasKeysToOffice,,DirectorsOffice,,,happy,,main_jonathan,Here's the spare key to the director's office. I suppose this is an important matter{comma} so take it.,,,,,,,,
no_receiver,,,,PlayerEnterDirectorsOffice,,DirectorsOffice,,,neutral,,main_jonathan,What did you find?,,,,,,,,
no_receiver,,,,KeyInDirectorsOffice,PlayerEnterDirectorsOffice,DirectorsOffice,,,neutral,,main_jonathan,I don't know. Maybe it could be the assistant's? Ask her.,,,,,,,,
no_receiver,,1,,ShowItem:card_from_beth,PlayerEnterDirectorsOffice,CardFromBeth,,,,,main_jonathan,Let me see that...Beth{comma} huh? I'm not sure who that is.{next}It's certainly not his wife though.,,,,,,,,
no_receiver,,,,LearnAboutTheFounder/WhoIsBeth:Cassandra/FounderIdentity:Beth,,DirectorsFrequentVisitor/CardFromBeth,,,,,main_jonathan,A lot of people drop by the museum{comma} so I can't really pinpoint who always visits and who doesn't. The woman that Cassandra was talking about sounds familiar.,,,,,,,,
no_receiver,,,,LearnAboutTheFounder/WhoIsBeth:Cassandra/FounderIdentity:Beth/RichWomanBringsGifts,,DirectorsFrequentVisitor,,,,,main_jonathan,Oh{comma} her! Yes{comma} she could be Beth. She often brings us cookies and goes straight up to the second floor.,,,,,,,,
no_receiver,,,,WomanInStorage/JonathanWatchingCameras/RichWomanAndDirector/RichWomanBringsGifts/WhoIsBeth:Cassandra/LearnAboutTheFounder/FounderIdentity:Beth,,CameraInTheStorageRoom,,,,,main_jonathan,That's true...,,,,,,,,
no_receiver,,,,WomanInStorage/NoWomanInCamera,,CameraInTheStorageRoom,,,sad,,main_jonathan,Th-there wasn't? I'm sure there was. I knew I was wide awake then{comma} and I know what I saw...,,,NoWomanInCameras,,,,,
no_receiver,,2,,WomanInStorage/NoWomanInCamera,,CameraInTheStorageRoom,,neut,angry,,main_jonathan,I wasn't lying! I know what I saw...,,,NoWomanInCameras,,,,,
no_receiver,,1,,WomanInStorage/WomanInStorage:Beth/FounderIdentity:Beth/NoWomanInCameras,,CameraInTheStorageRoom,,neut,sad,,main_jonathan,I'm not throwing her under the bus! Maybe I'm just... mistaken.,,,,,,,,
no_receiver,,,,TalkAboutConfrontation,Confrontation,CassandrasOutburst/StartConversation,,,,,main_jonathan,Oh... yes. I heard of it.,,,,,,,,
no_receiver,,2,,WomanInStorage/WomanInStorage:Beth/FounderIdentity:Beth/NoWomanInCameras/JonathansThoughtsOnFounder/DirectorAttractsBadPeople,,CameraInTheStorageRoom,,neut,angry,,main_jonathan,I'm not throwing her under the bus! Yes{comma} I don't like her{comma} but not enough to blame her for theft. I just think that the director shouldn't be blindly following her whims.,,,,,,,,
no_receiver,,,,WomanInStorage/WomanInStorage:Beth/FounderIdentity:Beth/NoWomanInCameras/JonathansThoughtsOnFounder/DirectorAttractsBadPeople/DirectorTrustsJonathan,,CameraInTheStorageRoom,,,sad,,main_jonathan,I'm not throwing her under the bus! I don't like her{comma} but I'm not blaming her for no reason!,,,,,,,,
